#TYPE Microsoft.ActiveDirectory.Management.ADGroup
"DistinguishedName","GroupCategory","GroupScope","Name","ObjectClass","ObjectGUID","SamAccountName","SID"
"CN=sg-rbac-cdci-prod-fagrontech-dns-zone-contributor,OU=RBAC,OU=CDC I,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdci-prod-fagrontech-dns-zone-contributor","group","3a8f37df-7292-489e-986f-c9dbc8d763aa","sg-rbac-cdci-prod-fagrontech-dns-zone-contributor","S-1-5-21-3259935974-3787959478-1761136832-438184"
"CN=sg-rbac-cdci-prod-rg-brsc-d365-sales-reader,OU=RBAC,OU=CDC I,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdci-prod-rg-brsc-d365-sales-reader","group","06c3c282-54bb-44fe-ae03-831d568628a4","sg-rbac-cdci-prod-rg-brsc-d365-sales-reader","S-1-5-21-3259935974-3787959478-1761136832-426781"
"CN=sg-rbac-cdci-prod-rg-fgbrbi01-reader,OU=RBAC,OU=CDC I,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdci-prod-rg-fgbrbi01-reader","group","fcbe8fb0-d3e2-4d33-a56d-392f0b63b5d2","sg-rbac-cdci-prod-rg-fgbrbi01-reader","S-1-5-21-3259935974-3787959478-1761136832-438931"
"CN=sg-rbac-cdci-prod-vm-cap1011-contributor,OU=RBAC,OU=CDC I,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdci-prod-vm-cap1011-contributor","group","fdc5a292-a188-4be6-b467-2dddae99ab63","sg-rbac-cdci-prod-vm-cap1011-contributor","S-1-5-21-3259935974-3787959478-1761136832-145277"
"CN=sg-rbac-cdcix-test-reader,OU=RBAC,OU=CDC IX,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcix-test-reader","group","697b124c-cb7a-4ea3-9a8e-5cf8a15c408c","sg-rbac-cdcix-test-reader","S-1-5-21-3259935974-3787959478-1761136832-440129"
"CN=sg-rbac-cdcm-test-reader,OU=RBAC,OU=CDC M,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcm-test-reader","group","74611eda-d99a-4e5d-8b0b-a75b4c32a95c","sg-rbac-cdcm-test-reader","S-1-5-21-3259935974-3787959478-1761136832-440130"
"CN=sg-rbac-cdcmi-prod-reader,OU=RBAC,OU=CDC MI,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcmi-prod-reader","group","d6e0b8a7-45cd-4833-a899-10037145c9ce","sg-rbac-cdcmi-prod-reader","S-1-5-21-3259935974-3787959478-1761136832-440131"
"CN=sg-rbac-cdcvi-prod-reader,OU=RBAC,OU=CDC VI,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcvi-prod-reader","group","2c6da09c-1458-460d-9a57-e24901da03b9","sg-rbac-cdcvi-prod-reader","S-1-5-21-3259935974-3787959478-1761136832-440132"
"CN=sg-rbac-cdcvi-prod-rg-d365ce-owner,OU=RBAC,OU=CDC VI,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcvi-prod-rg-d365ce-owner","group","eedfeeed-3ffd-4266-9f7c-719065bb16ab","sg-rbac-cdcvi-prod-rg-d365ce-owner","S-1-5-21-3259935974-3787959478-1761136832-440139"
"CN=sg-rbac-cdcvii-prod-reader,OU=RBAC,OU=CDC VII,OU=GL,OU=Security Groups,OU=Groups,OU=FDC,DC=adc,DC=local","Security","Global","sg-rbac-cdcvii-prod-reader","group","add60373-1c80-42f4-9160-aaa527118efc","sg-rbac-cdcvii-prod-reader","S-1-5-21-3259935974-3787959478-1761136832-440133"
