"VAP0001","17-08-2022","Windows Server 2016 Datacenter"
"VDC0002","30-06-2020","Windows Server 2008 R2 Enterprise"
"VDC0001","30-08-2022","Windows Server 2012 R2 Standard"
"VDC3201","31-08-2022","Windows Server 2012 R2 Standard"
"VDC4002","31-08-2022","Windows Server 2012 R2 Standard"
"CDC6002","06-09-2022","Windows Server 2012 R2 Datacenter"
"CDC7002","05-09-2022","Windows Server 2012 R2 Datacenter"
"VDC0007","02-09-2022","Windows Server 2016 Standard"
"VDC0005","01-09-2022","Windows Server 2016 Standard"
"CDC1003","07-09-2022","Windows Server 2016 Datacenter"
"VDC0006","01-09-2022","Windows Server 2016 Standard"
"VAP0149","20-08-2022","Windows Server 2012 R2 Standard"
"VFS4002","30-08-2022","Windows Server 2012 R2 Standard"
"PHV1301","12-08-2020","Hyper-V Server"
"PHV4001","06-09-2022","Windows Server 2012 R2 Standard"
"VFS4001","07-06-2016","Windows Server 2008 R2 Enterprise"
"PHV1601","21-01-2020","Hyper-V Server"
"VDS1602","16-01-2020","Windows Server 2012 R2 Standard"
"VBK0001","03-01-2020","Windows Server 2016 Datacenter"
"PHV2201","22-06-2020","Hyper-V Server"
"PHV3201","04-09-2022","Windows Server 2012 R2 Standard"
"VAP0134","03-09-2022","Windows Server 2012 R2 Standard"
"VAP0175","13-01-2018","Windows Server 2012 R2 Standard"
"VDS1202","20-01-2020","Windows Server 2012 R2 Standard"
"VDS9001","19-01-2020","Windows Server 2012 R2 Standard"
"VAP3901","31-08-2022","Windows Server 2012 R2 Datacenter"
"VDS2102","20-01-2020","Windows Server 2012 R2 Standard"
"PHV2101","30-08-2022","Windows Server 2019 Datacenter"
"VRD0002","09-02-2021","Windows Server 2016 Datacenter"
"VRD0001","14-02-2021","Windows Server 2016 Datacenter"
"VAP0002","30-08-2022","Windows Server 2016 Datacenter"
"VMS0005","20-03-2020","Windows Server 2008 R2 Enterprise"
"VMS0004","22-03-2020","Windows Server 2008 R2 Enterprise"
"VAP1101","02-09-2022","Windows Server 2008 R2 Enterprise"
"VDB0009","23-07-2021","Windows Server 2008 R2 Enterprise"
"VFS0002","31-08-2022","Windows Server 2016 Standard"
"VDB0014","21-05-2020","Windows Server 2012 R2 Standard"
"VDB0013","21-05-2020","Windows Server 2012 R2 Standard"
"VAP0138","16-05-2020","Windows Server 2012 R2 Standard"
"VAP0139","17-05-2020","Windows Server 2012 R2 Standard"
"VAP0140","14-05-2020","Windows Server 2012 R2 Standard"
"VFS0004","30-08-2022","Windows Server 2016 Standard"
"VAP1102","10-10-2021","Windows Server 2012 R2 Standard"
"VFS0005","02-09-2022","Windows Server 2016 Standard"
"VDS6003","03-05-2022","Windows Server 2012 R2 Standard"
"VDS1302","26-01-2020","Windows Server 2012 R2 Standard"
"VDS1402","23-07-2020","Windows Server 2012 R2 Standard"
"VDS1702","20-01-2020","Windows Server 2012 R2 Standard"
"VDS2402","08-06-2020","Windows Server 2012 R2 Standard"
"VDS2502","14-01-2020","Windows Server 2012 R2 Standard"
"CAP2005","18-03-2020","Windows Server 2008 R2 Datacenter"
"CDB2003","30-08-2022","Windows Server 2008 R2 Datacenter"
"VAP0166","14-05-2020","Windows Server 2012 R2 Standard"
"VFS0006","30-08-2022","Windows Server 2012 R2 Standard"
"PBK0002B","29-07-2020","Windows Server 2008 R2 Enterprise"
"VAP0006","16-10-2020","Windows Server 2019 Datacenter"
"VAP0004","06-09-2022","Windows Server 2019 Datacenter"
"VTS0004","10-10-2011","Windows Server 2008 R2 Enterprise"
"VDS2902","15-01-2020","Windows Server 2012 R2 Datacenter"
"VMS0008","02-09-2022","Windows Server 2016 Datacenter"
"VAP0174","30-08-2022","Windows Server 2012 R2 Standard"
"VAP0173","13-05-2020","Windows Server 2012 R2 Standard"
"VDS3601","18-01-2020","Windows Server 2012 R2 Standard"
"PHV3701","01-07-2022","Windows Server 2012 R2 Standard"
"PHV3601","01-09-2022","Windows Server 2019 Datacenter"
"CDB5001","04-09-2022","Windows Server 2012 R2 Datacenter"
"VPS0003","05-09-2022","Windows Server 2008 R2 Enterprise"
"PHV6001","19-04-2021","Hyper-V Server"
"CAP5006","01-09-2022","Windows Server 2012 R2 Datacenter"
"CAP5005","01-09-2022","Windows Server 2012 R2 Datacenter"
"VAP0171","07-09-2022","Windows Server 2012 R2 Standard"
"CPS6001","06-09-2022","Windows Server 2012 R2 Datacenter"
"CWS6001","08-11-2021","Windows Server 2012 R2 Datacenter"
"CPS6003","06-09-2022","Windows Server 2012 R2 Datacenter"
"CWS6002","11-11-2021","Windows Server 2012 R2 Datacenter"
"CWS6003","03-11-2021","Windows Server 2012 R2 Datacenter"
"CAP6007","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP6006","16-03-2021","Windows Server 2012 R2 Datacenter"
"CAP6001","31-08-2022","Windows Server 2008 R2 Datacenter"
"PHV1701","21-01-2020","Hyper-V Server"
"CFS6001","04-09-2022","Windows Server 2012 R2 Datacenter"
"CAP6005","11-11-2021","Windows Server 2008 R2 Datacenter"
"CDB6001","07-09-2022","Windows Server 2012 R2 Datacenter"
"CDB6004","08-09-2022","Windows Server 2012 R2 Datacenter"
"CDB6002","13-11-2021","Windows Server 2012 R2 Datacenter"
"CDB6003","06-09-2022","Windows Server 2012 R2 Datacenter"
"CMG6001","07-09-2022","Windows Server 2012 R2 Datacenter"
"CAP6002","12-11-2021","Windows Server 2008 R2 Datacenter"
"CDG6002","25-02-2021","Windows Server 2012 R2 Datacenter"
"CDG6001","25-02-2021","Windows Server 2012 R2 Datacenter"
"CAP6004","13-11-2021","Windows Server 2008 R2 Datacenter"
"CAP6003","15-11-2021","Windows Server 2008 R2 Datacenter"
"CDR6002","28-08-2022","Windows Server 2012 R2 Datacenter"
"CDR6001","07-09-2022","Windows Server 2012 R2 Datacenter"
"CRD6001","31-08-2022","Windows Server 2012 R2 Datacenter"
"CRD6002","18-02-2022","Windows Server 2012 R2 Datacenter"
"CPS6002","30-08-2022","Windows Server 2012 R2 Datacenter"
"CDS6001","31-08-2022","Windows Server 2012 R2 Datacenter"
"CRD6004","04-11-2021","Windows Server 2012 R2 Datacenter"
"CRD6003","01-11-2021","Windows Server 2012 R2 Datacenter"
"CRD6007","15-10-2021","Windows Server 2012 R2 Datacenter"
"CRD6005","04-11-2021","Windows Server 2012 R2 Datacenter"
"PAP1001","05-08-2022","Windows Server 2008 R2 Enterprise"
"CBK6001","19-01-2022","Windows Server 2012 R2 Datacenter"
"VDS3801","21-01-2020","Windows Server 2012 R2 Standard"
"VDS3901","02-02-2020","Windows Server 2012 R2 Standard"
"PHV1001","11-08-2022","Windows Server 2012 R2 Datacenter"
"VPS0002","01-09-2022","Windows Server 2012 R2 Standard"
"VAP0993","17-05-2020","Windows Server 2012 R2 Standard"
"PHV3702","31-08-2022","Windows Server 2012 R2 Standard"
"VDS3701","16-01-2020","Windows Server 2012 R2 Standard"
"PHV2501","03-09-2022","Windows Server 2016 Datacenter"
"CAP5008","29-08-2022","Windows Server 2012 R2 Datacenter"
"VDS4101","17-01-2020","Windows Server 2012 R2 Standard"
"VDS4201","18-01-2020","Windows Server 2012 R2 Datacenter"
"PHV4201","12-01-2020","Windows Server 2012 R2 Standard"
"CAP5009","30-08-2022","Windows Server 2012 R2 Datacenter"
"CAP5010","29-08-2022","Windows Server 2012 R2 Datacenter"
"PHV1201","15-01-2020","Hyper-V Server"
"CAP5011","01-09-2022","Windows Server 2012 R2 Datacenter"
"PHV1101","05-09-2022","Hyper-V Server"
"PHV2401","02-07-2021","Hyper-V Server"
"PHV2901","02-09-2022","Windows Server 2016 Datacenter"
"CAP6010","06-09-2022","Windows Server 2012 R2 Datacenter"
"CAP6011","06-09-2022","Windows Server 2012 R2 Datacenter"
"PHV3902","05-09-2022","Windows Server 2012 R2 Datacenter"
"PHV3903","08-09-2022","Windows Server 2012 R2 Datacenter"
"VAP3902","05-09-2022","Windows Server 2012 R2 Datacenter"
"VAP3904","07-09-2022","Windows Server 2012 R2 Datacenter"
"VAP3903","03-09-2022","Windows Server 2012 R2 Datacenter"
"PRD0022","15-02-2021","Windows Server 2016 Datacenter"
"PRD0012","11-02-2021","Windows Server 2016 Datacenter"
"PRD0013","08-02-2021","Windows Server 2016 Datacenter"
"VWS0005","03-11-2021","Windows Server 2008 R2 Enterprise"
"PRD0011","25-02-2021","Windows Server 2016 Datacenter"
"PRD0016","26-02-2021","Windows Server 2016 Datacenter"
"VWS0007","08-02-2020","Windows Server 2008 R2 Enterprise"
"VAP3905","31-08-2022","Windows Server 2012 R2 Datacenter"
"VWS0006","29-10-2021","Windows Server 2008 R2 Enterprise"
"VAP0017","30-09-2020","Windows Server 2003"
"CAP6012","01-09-2022","Windows Server 2012 R2 Datacenter"
"VFS6001","10-05-2022","Windows Server 2016 Standard"
"VAP3906","04-09-2022","Windows Server 2012 R2 Datacenter"
"PHV1401","23-07-2020","Hyper-V Server"
"PSV0099","22-04-2021","Windows Server 2012 R2 Datacenter"
"CFS7001","19-01-2020","Windows Server 2016 Datacenter"
"CFS7002","19-01-2020","Windows Server 2016 Datacenter"
"CDR7002","03-09-2022","Windows Server 2016 Datacenter"
"CDR7001","15-01-2020","Windows Server 2016 Datacenter"
"CMG7001","25-01-2020","Windows Server 2016 Datacenter"
"CRD7001","02-09-2022","Windows Server 2016 Datacenter"
"CRD7002","04-09-2022","Windows Server 2016 Datacenter"
"CRD7003","03-09-2022","Windows Server 2016 Datacenter"
"CRD7004","02-09-2022","Windows Server 2016 Datacenter"
"CRD7005","03-09-2022","Windows Server 2016 Datacenter"
"CRD7006","31-08-2022","Windows Server 2016 Datacenter"
"CRD7007","03-09-2022","Windows Server 2016 Datacenter"
"CRD7008","01-04-2021","Windows Server 2016 Datacenter"
"CRD7009","01-04-2021","Windows Server 2016 Datacenter"
"CRD7010","03-09-2022","Windows Server 2016 Datacenter"
"PHV3901","08-09-2022","Windows Server 2012 R2 Standard"
"CAP6013","07-09-2022","Windows Server 2012 R2 Datacenter"
"CAP6014","29-08-2022","Windows Server 2012 R2 Datacenter"
